# t  tau  phi  dphi  a  H  zppz  N
6.6 4.74663 14.9689 -0.004712 2.01306 0.105899 0.0911617 0.699656
6.7 4.79605 14.9684 -0.00471199 2.03449 0.105895 0.0931072 0.710245
6.8 4.84494 14.968 -0.00471198 2.05615 0.105892 0.0950941 0.720835
6.9 4.89332 14.9675 -0.00471197 2.07804 0.105889 0.0971234 0.731424
7 4.94119 14.967 -0.00471197 2.10016 0.105885 0.099196 0.742012
7.1 4.98855 14.9665 -0.00471196 2.12251 0.105882 0.101313 0.752601
7.2 5.03542 14.9661 -0.00471195 2.14511 0.105879 0.103474 0.763189
7.3 5.08179 14.9656 -0.00471194 2.16794 0.105875 0.105682 0.773776
7.4 5.12767 14.9651 -0.00471194 2.19101 0.105872 0.107937 0.784364
7.5 5.17307 14.9647 -0.00471193 2.21433 0.105869 0.11024 0.794951
7.6 5.218 14.9642 -0.00471192 2.2379 0.105865 0.112592 0.805538
7.7 5.26244 14.9637 -0.00471191 2.26172 0.105862 0.114994 0.816124
7.8 5.30643 14.9632 -0.00471191 2.28579 0.105859 0.117447 0.82671
7.9 5.34994 14.9628 -0.0047119 2.31011 0.105855 0.119953 0.837296
8 5.393 14.9623 -0.0047119 2.33469 0.105852 0.122512 0.847881
8.1 5.43561 14.9618 -0.00471189 2.35954 0.105849 0.125125 0.858466
8.2 5.47777 14.9614 -0.00471188 2.38465 0.105845 0.127794 0.869051
8.3 5.51948 14.9609 -0.00471188 2.41002 0.105842 0.13052 0.879635
8.4 5.56076 14.9604 -0.00471187 2.43566 0.105839 0.133304 0.890219
8.5 5.6016 14.9599 -0.00471187 2.46158 0.105835 0.136147 0.900803
8.6 5.64201 14.9595 -0.00471186 2.48777 0.105832 0.139051 0.911386
8.7 5.68199 14.959 -0.00471186 2.51424 0.105829 0.142017 0.921969
8.8 5.72155 14.9585 -0.00471185 2.54098 0.105825 0.145045 0.932552
8.9 5.7607 14.9581 -0.00471185 2.56802 0.105822 0.148139 0.943134
9 5.79944 14.9576 -0.00471185 2.59534 0.105819 0.151298 0.953716
9.1 5.83776 14.9571 -0.00471184 2.62295 0.105815 0.154524 0.964298
9.2 5.87569 14.9566 -0.00471184 2.65085 0.105812 0.157819 0.974879
9.3 5.91321 14.9562 -0.00471183 2.67904 0.105809 0.161185 0.98546
9.4 5.95034 14.9557 -0.00471183 2.70754 0.105805 0.164621 0.996041
9.5 5.98708 14.9552 -0.00471182 2.73634 0.105802 0.168132 1.00662
9.6 6.02343 14.9548 -0.00471182 2.76544 0.105799 0.171716 1.0172
9.7 6.0594 14.9543 -0.00471182 2.79486 0.105795 0.175377 1.02778
9.8 6.095 14.9538 -0.00471181 2.82458 0.105792 0.179117 1.03836
9.9 6.13021 14.9533 -0.00471181 2.85462 0.105789 0.182935 1.04894
10 6.16506 14.9529 -0.00471181 2.88498 0.105785 0.186835 1.05952
10.1 6.19954 14.9524 -0.0047118 2.91566 0.105782 0.190818 1.0701
10.2 6.23366 14.9519 -0.0047118 2.94667 0.105779 0.194886 1.08067
10.3 6.26741 14.9515 -0.0047118 2.978 0.105775 0.19904 1.09125
10.4 6.30082 14.951 -0.0047118 3.00967 0.105772 0.203283 1.10183
10.5 6.33387 14.9505 -0.00471179 3.04167 0.105769 0.207616 1.11241
10.6 6.36657 14.95 -0.00471179 3.07401 0.105765 0.212041 1.12298
10.7 6.39893 14.9496 -0.00471179 3.1067 0.105762 0.216561 1.13356
10.8 6.43095 14.9491 -0.00471178 3.13973 0.105759 0.221176 1.14414
10.9 6.46263 14.9486 -0.00471178 3.17311 0.105755 0.22589 1.15471
11 6.49398 14.9482 -0.00471178 3.20684 0.105752 0.230704 1.16529
11.1 6.525 14.9477 -0.00471178 3.24093 0.105749 0.235621 1.17586
11.2 6.55569 14.9472 -0.00471178 3.27539 0.105745 0.240642 1.18644
11.3 6.58606 14.9468 -0.00471177 3.31021 0.105742 0.24577 1.19701
11.4 6.61611 14.9463 -0.00471177 3.3454 0.105739 0.251007 1.20758
11.5 6.64585 14.9458 -0.00471177 3.38096 0.105735 0.256356 1.21816
11.6 6.67527 14.9453 -0.00471177 3.41689 0.105732 0.261818 1.22873
11.7 6.70438 14.9449 -0.00471176 3.45321 0.105729 0.267397 1.2393
11.8 6.73319 14.9444 -0.00471176 3.48992 0.105725 0.273094 1.24988
11.9 6.76169 14.9439 -0.00471176 3.52701 0.105722 0.278912 1.26045
12 6.78989 14.9435 -0.00471176 3.56449 0.105719 0.284855 1.27102
12.1 6.8178 14.943 -0.00471176 3.60238 0.105715 0.290923 1.28159
12.2 6.84541 14.9425 -0.00471176 3.64066 0.105712 0.297121 1.29217
12.3 6.87273 14.942 -0.00471175 3.67935 0.105709 0.30345 1.30274
12.4 6.89977 14.9416 -0.00471175 3.71845 0.105705 0.309915 1.31331
12.5 6.92652 14.9411 -0.00471175 3.75796 0.105702 0.316516 1.32388
12.6 6.95299 14.9406 -0.00471175 3.7979 0.105699 0.323258 1.33445
12.7 6.97918 14.9402 -0.00471175 3.83825 0.105695 0.330144 1.34502
12.8 7.0051 14.9397 -0.00471175 3.87903 0.105692 0.337176 1.35559
12.9 7.03074 14.9392 -0.00471175 3.92025 0.105689 0.344357 1.36616
13 7.05612 14.9387 -0.00471174 3.9619 0.105685 0.351692 1.37672
13.1 7.08123 14.9383 -0.00471174 4.00399 0.105682 0.359182 1.38729
13.2 7.10607 14.9378 -0.00471174 4.04653 0.105679 0.366831 1.39786
13.3 7.13065 14.9373 -0.00471174 4.08952 0.105675 0.374643 1.40843
13.4 7.15498 14.9369 -0.00471174 4.13297 0.105672 0.382621 1.419
13.5 7.17904 14.9364 -0.00471174 4.17687 0.105669 0.390769 1.42956
13.6 7.20286 14.9359 -0.00471174 4.22124 0.105665 0.39909 1.44013
13.7 7.22642 14.9354 -0.00471174 4.26608 0.105662 0.407588 1.4507
13.8 7.24974 14.935 -0.00471173 4.3114 0.105659 0.416267 1.46126
13.9 7.27281 14.9345 -0.00471173 4.35719 0.105655 0.42513 1.47183
14 7.29564 14.934 -0.00471173 4.40347 0.105652 0.434182 1.48239
14.1 7.31823 14.9336 -0.00471173 4.45024 0.105649 0.443426 1.49296
14.2 7.34059 14.9331 -0.00471173 4.4975 0.105645 0.452866 1.50352
14.3 7.3627 14.9326 -0.00471173 4.54527 0.105642 0.462508 1.51409
14.4 7.38459 14.9321 -0.00471173 4.59354 0.105639 0.472354 1.52465
14.5 7.40624 14.9317 -0.00471173 4.64232 0.105635 0.482409 1.53521
14.6 7.42767 14.9312 -0.00471173 4.69162 0.105632 0.492679 1.54578
14.7 7.44887 14.9307 -0.00471173 4.74144 0.105629 0.503166 1.55634
14.8 7.46985 14.9303 -0.00471173 4.79179 0.105625 0.513876 1.5669
14.9 7.49061 14.9298 -0.00471172 4.84267 0.105622 0.524814 1.57747
15 7.51115 14.9293 -0.00471172 4.89409 0.105619 0.535985 1.58803
15.1 7.53148 14.9288 -0.00471172 4.94605 0.105615 0.547393 1.59859
15.2 7.55159 14.9284 -0.00471172 4.99857 0.105612 0.559043 1.60915
15.3 7.57149 14.9279 -0.00471172 5.05164 0.105609 0.570941 1.61971
15.4 7.59118 14.9274 -0.00471172 5.10527 0.105605 0.583091 1.63027
15.5 7.61067 14.927 -0.00471172 5.15947 0.105602 0.5955 1.64083
15.6 7.62995 14.9265 -0.00471172 5.21424 0.105599 0.608173 1.65139
15.7 7.64902 14.926 -0.00471172 5.26959 0.105595 0.621115 1.66195
15.8 7.6679 14.9255 -0.00471172 5.32553 0.105592 0.634331 1.67251
15.9 7.68658 14.9251 -0.00471172 5.38206 0.105589 0.647829 1.68307
16 7.70506 14.9246 -0.00471172 5.43919 0.105585 0.661613 1.69363
16.1 7.72335 14.9241 -0.00471172 5.49692 0.105582 0.67569 1.70419
16.2 7.74145 14.9237 -0.00471172 5.55527 0.105579 0.690067 1.71475
16.3 7.75935 14.9232 -0.00471172 5.61423 0.105575 0.704748 1.7253
16.4 7.77707 14.9227 -0.00471171 5.67382 0.105572 0.719742 1.73586
16.5 7.7946 14.9222 -0.00471171 5.73403 0.105569 0.735054 1.74642
16.6 7.81195 14.9218 -0.00471171 5.79488 0.105565 0.750691 1.75698
16.7 7.82912 14.9213 -0.00471171 5.85638 0.105562 0.766661 1.76753
16.8 7.8461 14.9208 -0.00471171 5.91853 0.105559 0.782969 1.77809
16.9 7.86291 14.9204 -0.00471171 5.98133 0.105556 0.799624 1.78864
17 7.87954 14.9199 -0.00471171 6.0448 0.105552 0.816633 1.7992
17.1 7.896 14.9194 -0.00471171 6.10895 0.105549 0.834003 1.80975
17.2 7.91228 14.919 -0.00471171 6.17377 0.105546 0.851742 1.82031
17.3 7.92839 14.9185 -0.00471171 6.23927 0.105542 0.869858 1.83086
17.4 7.94434 14.918 -0.00471171 6.30547 0.105539 0.888358 1.84142
17.5 7.96011 14.9175 -0.00471171 6.37237 0.105536 0.907251 1.85197
17.6 7.97572 14.9171 -0.00471171 6.43997 0.105532 0.926545 1.86252
17.7 7.99117 14.9166 -0.00471171 6.5083 0.105529 0.946249 1.87308
17.8 8.00645 14.9161 -0.00471171 6.57734 0.105526 0.966372 1.88363
17.9 8.02158 14.9157 -0.00471171 6.64711 0.105522 0.986922 1.89418
18 8.03654 14.9152 -0.00471171 6.71763 0.105519 1.00791 1.90473
18.1 8.05135 14.9147 -0.00471171 6.78888 0.105516 1.02934 1.91529
18.2 8.066 14.9142 -0.00471171 6.86089 0.105512 1.05123 1.92584
18.3 8.0805 14.9138 -0.00471171 6.93367 0.105509 1.07358 1.93639
18.4 8.09485 14.9133 -0.00471171 7.00721 0.105506 1.0964 1.94694
18.5 8.10904 14.9128 -0.00471171 7.08153 0.105502 1.11971 1.95749
18.6 8.12309 14.9124 -0.0047117 7.15664 0.105499 1.14352 1.96804
18.7 8.13699 14.9119 -0.0047117 7.23254 0.105496 1.16783 1.97859
18.8 8.15074 14.9114 -0.0047117 7.30924 0.105492 1.19265 1.98914
18.9 8.16435 14.9109 -0.0047117 7.38675 0.105489 1.21801 1.99969
19 8.17782 14.9105 -0.0047117 7.46509 0.105486 1.2439 2.01024
19.1 8.19114 14.91 -0.0047117 7.54425 0.105482 1.27034 2.02079
19.2 8.20433 14.9095 -0.0047117 7.62425 0.105479 1.29734 2.03133
19.3 8.21738 14.9091 -0.0047117 7.70509 0.105476 1.32492 2.04188
19.4 8.23029 14.9086 -0.0047117 7.78679 0.105472 1.35308 2.05243
19.5 8.24306 14.9081 -0.0047117 7.86935 0.105469 1.38184 2.06298
19.6 8.2557 14.9076 -0.0047117 7.95279 0.105466 1.41121 2.07352
19.7 8.26821 14.9072 -0.0047117 8.0371 0.105462 1.4412 2.08407
19.8 8.28059 14.9067 -0.0047117 8.12231 0.105459 1.47183 2.09461
19.9 8.29284 14.9062 -0.0047117 8.20842 0.105456 1.5031 2.10516
20 8.30495 14.9058 -0.0047117 8.29544 0.105452 1.53505 2.11571
20.1 8.31695 14.9053 -0.0047117 8.38338 0.105449 1.56766 2.12625
20.2 8.32881 14.9048 -0.0047117 8.47225 0.105446 1.60098 2.1368
20.3 8.34055 14.9043 -0.0047117 8.56205 0.105442 1.63499 2.14734
20.4 8.35217 14.9039 -0.0047117 8.65281 0.105439 1.66973 2.15788
20.5 8.36367 14.9034 -0.0047117 8.74453 0.105436 1.70521 2.16843
20.6 8.37504 14.9029 -0.0047117 8.83721 0.105432 1.74144 2.17897
20.7 8.3863 14.9025 -0.0047117 8.93087 0.105429 1.77844 2.18951
20.8 8.39744 14.902 -0.0047117 9.02553 0.105426 1.81622 2.20006
20.9 8.40846 14.9015 -0.0047117 9.12118 0.105422 1.85481 2.2106
21 8.41936 14.901 -0.0047117 9.21785 0.105419 1.89421 2.22114
21.1 8.43016 14.9006 -0.0047117 9.31553 0.105416 1.93445 2.23168
21.2 8.44083 14.9001 -0.0047117 9.41425 0.105412 1.97554 2.24222
21.3 8.4514 14.8996 -0.0047117 9.51401 0.105409 2.0175 2.25277
21.4 8.46186 14.8992 -0.0047117 9.61483 0.105406 2.06036 2.26331
21.5 8.4722 14.8987 -0.0047117 9.71671 0.105402 2.10412 2.27385
21.6 8.48244 14.8982 -0.0047117 9.81966 0.105399 2.14881 2.28439
21.7 8.49257 14.8977 -0.0047117 9.92371 0.105396 2.19445 2.29493
21.8 8.50259 14.8973 -0.0047117 10.0289 0.105392 2.24105 2.30547
21.9 8.51251 14.8968 -0.0047117 10.1351 0.105389 2.28865 2.31601
22 8.52233 14.8963 -0.0047117 10.2425 0.105386 2.33725 2.32654
22.1 8.53204 14.8959 -0.0047117 10.351 0.105382 2.38689 2.33708
22.2 8.54165 14.8954 -0.0047117 10.4606 0.105379 2.43757 2.34762
22.3 8.55116 14.8949 -0.0047117 10.5715 0.105376 2.48933 2.35816
22.4 8.56057 14.8945 -0.00471169 10.6834 0.105372 2.54219 2.3687
22.5 8.56988 14.894 -0.00471169 10.7966 0.105369 2.59617 2.37923
22.6 8.57909 14.8935 -0.00471169 10.911 0.105366 2.6513 2.38977
22.7 8.58821 14.893 -0.00471169 11.0265 0.105362 2.70759 2.40031
22.8 8.59723 14.8926 -0.00471169 11.1433 0.105359 2.76507 2.41084
22.9 8.60616 14.8921 -0.00471169 11.2614 0.105356 2.82378 2.42138
23 8.61499 14.8916 -0.00471169 11.3806 0.105352 2.88373 2.43191
23.1 8.62373 14.8912 -0.00471169 11.5012 0.105349 2.94495 2.44245
23.2 8.63238 14.8907 -0.00471169 11.623 0.105346 3.00746 2.45298
23.3 8.64094 14.8902 -0.00471169 11.7461 0.105342 3.07131 2.46352
23.4 8.64941 14.8897 -0.00471169 11.8704 0.105339 3.1365 2.47405
23.5 8.65779 14.8893 -0.00471169 11.9961 0.105336 3.20308 2.48458
23.6 8.66608 14.8888 -0.00471169 12.1232 0.105332 3.27107 2.49512
23.7 8.67429 14.8883 -0.00471169 12.2515 0.105329 3.3405 2.50565
23.8 8.68241 14.8879 -0.00471169 12.3813 0.105326 3.4114 2.51618
23.9 8.69044 14.8874 -0.00471169 12.5124 0.105322 3.4838 2.52672
24 8.69839 14.8869 -0.00471169 12.6448 0.105319 3.55774 2.53725
24.1 8.70626 14.8864 -0.00471169 12.7787 0.105316 3.63324 2.54778
24.2 8.71404 14.886 -0.00471169 12.914 0.105312 3.71035 2.55831
24.3 8.72175 14.8855 -0.00471169 13.0507 0.105309 3.78908 2.56884
24.4 8.72937 14.885 -0.00471169 13.1889 0.105306 3.86949 2.57937
24.5 8.73691 14.8846 -0.00471169 13.3285 0.105302 3.9516 2.5899
24.6 8.74437 14.8841 -0.00471169 13.4696 0.105299 4.03545 2.60043
24.7 8.75176 14.8836 -0.00471169 13.6122 0.105296 4.12107 2.61096
24.8 8.75907 14.8831 -0.00471169 13.7562 0.105292 4.20851 2.62149
24.9 8.7663 14.8827 -0.00471169 13.9019 0.105289 4.29781 2.63202
25 8.77345 14.8822 -0.00471169 14.049 0.105286 4.38899 2.64255
25.1 8.78053 14.8817 -0.00471169 14.1977 0.105282 4.48211 2.65308
25.2 8.78754 14.8813 -0.00471169 14.348 0.105279 4.57719 2.66361
