# t  tau  phi  dphi  a  H  zppz  N
628.1 9.45156 12.0409 -0.00471045 1.24357e+26 0.0852072 2.25586e+50 60.0852
628.2 9.45156 12.0404 -0.00471045 1.25421e+26 0.0852039 2.29445e+50 60.0937
628.3 9.45156 12.04 -0.00471045 1.26494e+26 0.0852006 2.3337e+50 60.1022
628.4 9.45156 12.0395 -0.00471045 1.27576e+26 0.0851973 2.37362e+50 60.1108
628.5 9.45156 12.039 -0.00471045 1.28668e+26 0.0851939 2.41423e+50 60.1193
628.6 9.45156 12.0386 -0.00471045 1.29769e+26 0.0851906 2.45552e+50 60.1278
628.7 9.45156 12.0381 -0.00471045 1.30879e+26 0.0851873 2.49753e+50 60.1363
628.8 9.45156 12.0376 -0.00471045 1.31998e+26 0.0851839 2.54024e+50 60.1448
628.9 9.45156 12.0371 -0.00471045 1.33128e+26 0.0851806 2.58369e+50 60.1534
629 9.45156 12.0367 -0.00471045 1.34266e+26 0.0851773 2.62788e+50 60.1619
629.1 9.45156 12.0362 -0.00471045 1.35415e+26 0.085174 2.67282e+50 60.1704
629.2 9.45156 12.0357 -0.00471045 1.36573e+26 0.0851706 2.71853e+50 60.1789
629.3 9.45156 12.0353 -0.00471045 1.37741e+26 0.0851673 2.76502e+50 60.1874
629.4 9.45156 12.0348 -0.00471045 1.3892e+26 0.085164 2.8123e+50 60.1959
629.5 9.45156 12.0343 -0.00471045 1.40108e+26 0.0851606 2.86039e+50 60.2045
629.6 9.45156 12.0338 -0.00471045 1.41306e+26 0.0851573 2.90929e+50 60.213
629.7 9.45156 12.0334 -0.00471045 1.42514e+26 0.085154 2.95904e+50 60.2215
629.8 9.45156 12.0329 -0.00471045 1.43733e+26 0.0851507 3.00963e+50 60.23
629.9 9.45156 12.0324 -0.00471045 1.44962e+26 0.0851473 3.06108e+50 60.2385
630 9.45156 12.032 -0.00471045 1.46202e+26 0.085144 3.11341e+50 60.247
630.1 9.45156 12.0315 -0.00471045 1.47452e+26 0.0851407 3.16664e+50 60.2555
630.2 9.45156 12.031 -0.00471045 1.48713e+26 0.0851374 3.22077e+50 60.2641
630.3 9.45156 12.0306 -0.00471045 1.49984e+26 0.085134 3.27582e+50 60.2726
630.4 9.45156 12.0301 -0.00471045 1.51266e+26 0.0851307 3.33182e+50 60.2811
630.5 9.45156 12.0296 -0.00471045 1.5256e+26 0.0851274 3.38877e+50 60.2896
630.6 9.45156 12.0291 -0.00471045 1.53864e+26 0.085124 3.44669e+50 60.2981
630.7 9.45156 12.0287 -0.00471045 1.55179e+26 0.0851207 3.50559e+50 60.3066
630.8 9.45156 12.0282 -0.00471045 1.56506e+26 0.0851174 3.56551e+50 60.3151
630.9 9.45156 12.0277 -0.00471045 1.57843e+26 0.0851141 3.62644e+50 60.3236
631 9.45156 12.0273 -0.00471044 1.59193e+26 0.0851107 3.68841e+50 60.3322
631.1 9.45156 12.0268 -0.00471044 1.60553e+26 0.0851074 3.75144e+50 60.3407
631.2 9.45156 12.0263 -0.00471044 1.61925e+26 0.0851041 3.81554e+50 60.3492
631.3 9.45156 12.0258 -0.00471044 1.63309e+26 0.0851007 3.88074e+50 60.3577
631.4 9.45156 12.0254 -0.00471044 1.64705e+26 0.0850974 3.94705e+50 60.3662
631.5 9.45156 12.0249 -0.00471044 1.66113e+26 0.0850941 4.01448e+50 60.3747
631.6 9.45156 12.0244 -0.00471044 1.67532e+26 0.0850908 4.08307e+50 60.3832
631.7 9.45156 12.024 -0.00471044 1.68964e+26 0.0850874 4.15283e+50 60.3917
631.8 9.45156 12.0235 -0.00471044 1.70407e+26 0.0850841 4.22377e+50 60.4002
631.9 9.45156 12.023 -0.00471044 1.71864e+26 0.0850808 4.29593e+50 60.4087
632 9.45156 12.0225 -0.00471044 1.73332e+26 0.0850774 4.36931e+50 60.4173
632.1 9.45156 12.0221 -0.00471044 1.74813e+26 0.0850741 4.44395e+50 60.4258
632.2 9.45156 12.0216 -0.00471044 1.76306e+26 0.0850708 4.51985e+50 60.4343
632.3 9.45156 12.0211 -0.00471044 1.77813e+26 0.0850675 4.59705e+50 60.4428
632.4 9.45156 12.0207 -0.00471044 1.79332e+26 0.0850641 4.67557e+50 60.4513
632.5 9.45156 12.0202 -0.00471044 1.80864e+26 0.0850608 4.75542e+50 60.4598
632.6 9.45156 12.0197 -0.00471044 1.82409e+26 0.0850575 4.83663e+50 60.4683
632.7 9.45156 12.0192 -0.00471044 1.83967e+26 0.0850541 4.91923e+50 60.4768
632.8 9.45156 12.0188 -0.00471044 1.85538e+26 0.0850508 5.00324e+50 60.4853
632.9 9.45156 12.0183 -0.00471044 1.87123e+26 0.0850475 5.08867e+50 60.4938
633 9.45156 12.0178 -0.00471044 1.88721e+26 0.0850442 5.17556e+50 60.5023
633.1 9.45156 12.0174 -0.00471044 1.90333e+26 0.0850408 5.26393e+50 60.5108
633.2 9.45156 12.0169 -0.00471044 1.91958e+26 0.0850375 5.35381e+50 60.5193
633.3 9.45156 12.0164 -0.00471044 1.93597e+26 0.0850342 5.44522e+50 60.5278
633.4 9.45156 12.0159 -0.00471044 1.95251e+26 0.0850308 5.53818e+50 60.5363
633.5 9.45156 12.0155 -0.00471044 1.96918e+26 0.0850275 5.63273e+50 60.5448
633.6 9.45156 12.015 -0.00471044 1.98599e+26 0.0850242 5.72889e+50 60.5533
633.7 9.45156 12.0145 -0.00471044 2.00295e+26 0.0850209 5.82668e+50 60.5618
633.8 9.45156 12.0141 -0.00471044 2.02005e+26 0.0850175 5.92615e+50 60.5703
633.9 9.45156 12.0136 -0.00471044 2.0373e+26 0.0850142 6.0273e+50 60.5788
634 9.45156 12.0131 -0.00471044 2.05469e+26 0.0850109 6.13018e+50 60.5873
634.1 9.45156 12.0127 -0.00471044 2.07223e+26 0.0850076 6.23481e+50 60.5958
634.2 9.45156 12.0122 -0.00471044 2.08992e+26 0.0850042 6.34122e+50 60.6043
634.3 9.45156 12.0117 -0.00471044 2.10777e+26 0.0850009 6.44944e+50 60.6128
634.4 9.45156 12.0112 -0.00471044 2.12576e+26 0.0849976 6.55951e+50 60.6213
634.5 9.45156 12.0108 -0.00471044 2.1439e+26 0.0849942 6.67145e+50 60.6298
634.6 9.45156 12.0103 -0.00471043 2.1622e+26 0.0849909 6.78529e+50 60.6383
634.7 9.45156 12.0098 -0.00471043 2.18066e+26 0.0849876 6.90107e+50 60.6468
634.8 9.45156 12.0094 -0.00471043 2.19927e+26 0.0849843 7.01883e+50 60.6553
634.9 9.45156 12.0089 -0.00471043 2.21804e+26 0.0849809 7.13859e+50 60.6638
635 9.45156 12.0084 -0.00471043 2.23697e+26 0.0849776 7.26038e+50 60.6723
635.1 9.45156 12.0079 -0.00471043 2.25606e+26 0.0849743 7.38425e+50 60.6808
635.2 9.45156 12.0075 -0.00471043 2.27531e+26 0.0849709 7.51023e+50 60.6893
635.3 9.45156 12.007 -0.00471043 2.29472e+26 0.0849676 7.63836e+50 60.6978
635.4 9.45156 12.0065 -0.00471043 2.3143e+26 0.0849643 7.76866e+50 60.7063
635.5 9.45156 12.0061 -0.00471043 2.33405e+26 0.084961 7.90118e+50 60.7148
635.6 9.45156 12.0056 -0.00471043 2.35397e+26 0.0849576 8.03596e+50 60.7233
635.7 9.45156 12.0051 -0.00471043 2.37405e+26 0.0849543 8.17303e+50 60.7318
635.8 9.45156 12.0046 -0.00471043 2.3943e+26 0.084951 8.31243e+50 60.7403
635.9 9.45156 12.0042 -0.00471043 2.41473e+26 0.0849476 8.4542e+50 60.7488
636 9.45156 12.0037 -0.00471043 2.43533e+26 0.0849443 8.59839e+50 60.7573
636.1 9.45156 12.0032 -0.00471043 2.4561e+26 0.084941 8.74503e+50 60.7658
636.2 9.45156 12.0028 -0.00471043 2.47705e+26 0.0849377 8.89416e+50 60.7743
636.3 9.45156 12.0023 -0.00471043 2.49818e+26 0.0849343 9.04583e+50 60.7828
636.4 9.45156 12.0018 -0.00471043 2.51949e+26 0.084931 9.20009e+50 60.7913
636.5 9.45156 12.0013 -0.00471043 2.54098e+26 0.0849277 9.35696e+50 60.7998
636.6 9.45156 12.0009 -0.00471043 2.56265e+26 0.0849243 9.51651e+50 60.8083
636.7 9.45156 12.0004 -0.00471043 2.58451e+26 0.084921 9.67877e+50 60.8167
636.8 9.45156 11.9999 -0.00471043 2.60655e+26 0.0849177 9.84378e+50 60.8252
636.9 9.45156 11.9995 -0.00471043 2.62878e+26 0.0849144 1.00116e+51 60.8337
637 9.45156 11.999 -0.00471043 2.65119e+26 0.084911 1.01823e+51 60.8422
637.1 9.45156 11.9985 -0.00471043 2.6738e+26 0.0849077 1.03559e+51 60.8507
637.2 9.45156 11.998 -0.00471043 2.6966e+26 0.0849044 1.05324e+51 60.8592
637.3 9.45156 11.9976 -0.00471043 2.71959e+26 0.084901 1.07119e+51 60.8677
637.4 9.45156 11.9971 -0.00471043 2.74278e+26 0.0848977 1.08945e+51 60.8762
637.5 9.45156 11.9966 -0.00471043 2.76616e+26 0.0848944 1.10802e+51 60.8847
637.6 9.45156 11.9962 -0.00471043 2.78974e+26 0.0848911 1.12691e+51 60.8932
637.7 9.45156 11.9957 -0.00471043 2.81353e+26 0.0848877 1.14611e+51 60.9017
637.8 9.45156 11.9952 -0.00471043 2.83751e+26 0.0848844 1.16565e+51 60.9101
637.9 9.45156 11.9948 -0.00471043 2.8617e+26 0.0848811 1.18551e+51 60.9186
638 9.45156 11.9943 -0.00471043 2.88609e+26 0.0848777 1.20572e+51 60.9271
638.1 9.45156 11.9938 -0.00471042 2.91069e+26 0.0848744 1.22626e+51 60.9356
638.2 9.45156 11.9933 -0.00471042 2.9355e+26 0.0848711 1.24716e+51 60.9441
638.3 9.45156 11.9929 -0.00471042 2.96052e+26 0.0848678 1.26841e+51 60.9526
638.4 9.45156 11.9924 -0.00471042 2.98575e+26 0.0848644 1.29002e+51 60.9611
638.5 9.45156 11.9919 -0.00471042 3.0112e+26 0.0848611 1.312e+51 60.9696
638.6 9.45156 11.9915 -0.00471042 3.03686e+26 0.0848578 1.33435e+51 60.978
638.7 9.45156 11.991 -0.00471042 3.06274e+26 0.0848545 1.35709e+51 60.9865
638.8 9.45156 11.9905 -0.00471042 3.08884e+26 0.0848511 1.3802e+51 60.995
638.9 9.45156 11.99 -0.00471042 3.11516e+26 0.0848478 1.40372e+51 61.0035
639 9.45156 11.9896 -0.00471042 3.1417e+26 0.0848445 1.42763e+51 61.012
639.1 9.45156 11.9891 -0.00471042 3.16847e+26 0.0848411 1.45195e+51 61.0205
639.2 9.45156 11.9886 -0.00471042 3.19547e+26 0.0848378 1.47668e+51 61.0289
639.3 9.45156 11.9882 -0.00471042 3.22269e+26 0.0848345 1.50183e+51 61.0374
639.4 9.45156 11.9877 -0.00471042 3.25015e+26 0.0848312 1.52741e+51 61.0459
639.5 9.45156 11.9872 -0.00471042 3.27783e+26 0.0848278 1.55342e+51 61.0544
639.6 9.45156 11.9867 -0.00471042 3.30576e+26 0.0848245 1.57988e+51 61.0629
639.7 9.45156 11.9863 -0.00471042 3.33392e+26 0.0848212 1.60678e+51 61.0714
639.8 9.45156 11.9858 -0.00471042 3.36232e+26 0.0848178 1.63414e+51 61.0798
639.9 9.45156 11.9853 -0.00471042 3.39095e+26 0.0848145 1.66197e+51 61.0883
640 9.45156 11.9849 -0.00471042 3.41984e+26 0.0848112 1.69027e+51 61.0968
640.1 9.45156 11.9844 -0.00471042 3.44896e+26 0.0848079 1.71905e+51 61.1053
640.2 9.45156 11.9839 -0.00471042 3.47834e+26 0.0848045 1.74832e+51 61.1138
640.3 9.45156 11.9834 -0.00471042 3.50796e+26 0.0848012 1.77809e+51 61.1222
640.4 9.45156 11.983 -0.00471042 3.53783e+26 0.0847979 1.80836e+51 61.1307
640.5 9.45156 11.9825 -0.00471042 3.56796e+26 0.0847945 1.83915e+51 61.1392
640.6 9.45156 11.982 -0.00471042 3.59834e+26 0.0847912 1.87046e+51 61.1477
640.7 9.45156 11.9816 -0.00471042 3.62898e+26 0.0847879 1.9023e+51 61.1562
640.8 9.45156 11.9811 -0.00471042 3.65988e+26 0.0847846 1.93468e+51 61.1646
640.9 9.45156 11.9806 -0.00471042 3.69104e+26 0.0847812 1.96761e+51 61.1731
641 9.45156 11.9801 -0.00471042 3.72247e+26 0.0847779 2.0011e+51 61.1816
641.1 9.45156 11.9797 -0.00471042 3.75416e+26 0.0847746 2.03516e+51 61.1901
641.2 9.45156 11.9792 -0.00471042 3.78612e+26 0.0847712 2.0698e+51 61.1986
641.3 9.45156 11.9787 -0.00471042 3.81835e+26 0.0847679 2.10502e+51 61.207
641.4 9.45156 11.9783 -0.00471042 3.85086e+26 0.0847646 2.14085e+51 61.2155
641.5 9.45156 11.9778 -0.00471042 3.88364e+26 0.0847613 2.17728e+51 61.224
641.6 9.45156 11.9773 -0.00471042 3.91669e+26 0.0847579 2.21433e+51 61.2325
641.7 9.45156 11.9769 -0.00471041 3.95003e+26 0.0847546 2.25201e+51 61.2409
641.8 9.45156 11.9764 -0.00471041 3.98365e+26 0.0847513 2.29033e+51 61.2494
641.9 9.45156 11.9759 -0.00471041 4.01756e+26 0.0847479 2.3293e+51 61.2579
642 9.45156 11.9754 -0.00471041 4.05175e+26 0.0847446 2.36893e+51 61.2664
642.1 9.45156 11.975 -0.00471041 4.08623e+26 0.0847413 2.40923e+51 61.2748
642.2 9.45156 11.9745 -0.00471041 4.121e+26 0.084738 2.45022e+51 61.2833
642.3 9.45156 11.974 -0.00471041 4.15607e+26 0.0847346 2.4919e+51 61.2918
642.4 9.45156 11.9736 -0.00471041 4.19144e+26 0.0847313 2.53429e+51 61.3003
642.5 9.45156 11.9731 -0.00471041 4.2271e+26 0.084728 2.57741e+51 61.3087
642.6 9.45156 11.9726 -0.00471041 4.26307e+26 0.0847247 2.62125e+51 61.3172
642.7 9.45156 11.9721 -0.00471041 4.29934e+26 0.0847213 2.66583e+51 61.3257
642.8 9.45156 11.9717 -0.00471041 4.33592e+26 0.084718 2.71118e+51 61.3341
642.9 9.45156 11.9712 -0.00471041 4.37281e+26 0.0847147 2.75729e+51 61.3426
643 9.45156 11.9707 -0.00471041 4.41001e+26 0.0847113 2.80418e+51 61.3511
643.1 9.45156 11.9703 -0.00471041 4.44752e+26 0.084708 2.85187e+51 61.3596
643.2 9.45156 11.9698 -0.00471041 4.48536e+26 0.0847047 2.90037e+51 61.368
643.3 9.45156 11.9693 -0.00471041 4.52351e+26 0.0847014 2.94969e+51 61.3765
643.4 9.45156 11.9688 -0.00471041 4.56199e+26 0.084698 2.99985e+51 61.385
643.5 9.45156 11.9684 -0.00471041 4.60079e+26 0.0846947 3.05086e+51 61.3934
643.6 9.45156 11.9679 -0.00471041 4.63992e+26 0.0846914 3.10274e+51 61.4019
643.7 9.45156 11.9674 -0.00471041 4.67938e+26 0.084688 3.15549e+51 61.4104
643.8 9.45156 11.967 -0.00471041 4.71918e+26 0.0846847 3.20914e+51 61.4188
643.9 9.45156 11.9665 -0.00471041 4.75931e+26 0.0846814 3.2637e+51 61.4273
644 9.45156 11.966 -0.00471041 4.79979e+26 0.0846781 3.31918e+51 61.4358
644.1 9.45156 11.9655 -0.00471041 4.8406e+26 0.0846747 3.37561e+51 61.4443
644.2 9.45156 11.9651 -0.00471041 4.88176e+26 0.0846714 3.43299e+51 61.4527
644.3 9.45156 11.9646 -0.00471041 4.92327e+26 0.0846681 3.49135e+51 61.4612
644.4 9.45156 11.9641 -0.00471041 4.96513e+26 0.0846647 3.55069e+51 61.4697
644.5 9.45156 11.9637 -0.00471041 5.00735e+26 0.0846614 3.61105e+51 61.4781
644.6 9.45156 11.9632 -0.00471041 5.04992e+26 0.0846581 3.67242e+51 61.4866
644.7 9.45156 11.9627 -0.00471041 5.09285e+26 0.0846548 3.73484e+51 61.4951
644.8 9.45156 11.9622 -0.00471041 5.13615e+26 0.0846514 3.79831e+51 61.5035
644.9 9.45156 11.9618 -0.00471041 5.17981e+26 0.0846481 3.86286e+51 61.512
645 9.45156 11.9613 -0.00471041 5.22384e+26 0.0846448 3.92851e+51 61.5204
645.1 9.45156 11.9608 -0.00471041 5.26824e+26 0.0846414 3.99526e+51 61.5289
645.2 9.45156 11.9604 -0.0047104 5.31302e+26 0.0846381 4.06315e+51 61.5374
645.3 9.45156 11.9599 -0.0047104 5.35818e+26 0.0846348 4.13219e+51 61.5458
645.4 9.45156 11.9594 -0.0047104 5.40372e+26 0.0846315 4.2024e+51 61.5543
645.5 9.45156 11.959 -0.0047104 5.44965e+26 0.0846281 4.2738e+51 61.5628
645.6 9.45156 11.9585 -0.0047104 5.49596e+26 0.0846248 4.34641e+51 61.5712
645.7 9.45156 11.958 -0.0047104 5.54267e+26 0.0846215 4.42026e+51 61.5797
645.8 9.45156 11.9575 -0.0047104 5.58977e+26 0.0846182 4.49535e+51 61.5882
645.9 9.45156 11.9571 -0.0047104 5.63727e+26 0.0846148 4.57171e+51 61.5966
646 9.45156 11.9566 -0.0047104 5.68517e+26 0.0846115 4.64937e+51 61.6051
646.1 9.45156 11.9561 -0.0047104 5.73348e+26 0.0846082 4.72835e+51 61.6135
646.2 9.45156 11.9557 -0.0047104 5.78219e+26 0.0846048 4.80866e+51 61.622
646.3 9.45156 11.9552 -0.0047104 5.83132e+26 0.0846015 4.89034e+51 61.6305
646.4 9.45156 11.9547 -0.0047104 5.88086e+26 0.0845982 4.9734e+51 61.6389
646.5 9.45156 11.9542 -0.0047104 5.93082e+26 0.0845949 5.05786e+51 61.6474
646.6 9.45156 11.9538 -0.0047104 5.9812e+26 0.0845915 5.14376e+51 61.6558
646.7 9.45156 11.9533 -0.0047104 6.03201e+26 0.0845882 5.23111e+51 61.6643
646.8 9.45156 11.9528 -0.0047104 6.08325e+26 0.0845849 5.31995e+51 61.6728
646.9 9.45156 11.9524 -0.0047104 6.13492e+26 0.0845815 5.41028e+51 61.6812
647 9.45156 11.9519 -0.0047104 6.18703e+26 0.0845782 5.50215e+51 61.6897
647.1 9.45156 11.9514 -0.0047104 6.23958e+26 0.0845749 5.59557e+51 61.6981
647.2 9.45156 11.9509 -0.0047104 6.29258e+26 0.0845716 5.69058e+51 61.7066
647.3 9.45156 11.9505 -0.0047104 6.34602e+26 0.0845682 5.7872e+51 61.715
647.4 9.45156 11.95 -0.0047104 6.39991e+26 0.0845649 5.88545e+51 61.7235
647.5 9.45156 11.9495 -0.0047104 6.45426e+26 0.0845616 5.98536e+51 61.732
647.6 9.45156 11.9491 -0.0047104 6.50907e+26 0.0845582 6.08697e+51 61.7404
647.7 9.45156 11.9486 -0.0047104 6.56434e+26 0.0845549 6.1903e+51 61.7489
647.8 9.45156 11.9481 -0.0047104 6.62008e+26 0.0845516 6.29538e+51 61.7573
647.9 9.45156 11.9476 -0.0047104 6.67629e+26 0.0845483 6.40224e+51 61.7658
648 9.45156 11.9472 -0.0047104 6.73298e+26 0.0845449 6.51091e+51 61.7742
648.1 9.45156 11.9467 -0.0047104 6.79014e+26 0.0845416 6.62141e+51 61.7827
648.2 9.45156 11.9462 -0.0047104 6.84779e+26 0.0845383 6.73379e+51 61.7911
648.3 9.45156 11.9458 -0.0047104 6.90592e+26 0.0845349 6.84807e+51 61.7996
648.4 9.45156 11.9453 -0.0047104 6.96455e+26 0.0845316 6.96429e+51 61.808
648.5 9.45156 11.9448 -0.0047104 7.02367e+26 0.0845283 7.08247e+51 61.8165
648.6 9.45156 11.9444 -0.0047104 7.08329e+26 0.084525 7.20266e+51 61.825
648.7 9.45156 11.9439 -0.00471039 7.14341e+26 0.0845216 7.32488e+51 61.8334
648.8 9.45156 11.9434 -0.00471039 7.20404e+26 0.0845183 7.44917e+51 61.8419
648.9 9.45156 11.9429 -0.00471039 7.26519e+26 0.084515 7.57556e+51 61.8503
649 9.45156 11.9425 -0.00471039 7.32685e+26 0.0845116 7.70409e+51 61.8588
649.1 9.45156 11.942 -0.00471039 7.38903e+26 0.0845083 7.8348e+51 61.8672
649.2 9.45156 11.9415 -0.00471039 7.45174e+26 0.084505 7.96772e+51 61.8757
649.3 9.45156 11.9411 -0.00471039 7.51497e+26 0.0845017 8.10289e+51 61.8841
649.4 9.45156 11.9406 -0.00471039 7.57874e+26 0.0844983 8.24034e+51 61.8926
649.5 9.45156 11.9401 -0.00471039 7.64305e+26 0.084495 8.38012e+51 61.901
649.6 9.45156 11.9396 -0.00471039 7.70791e+26 0.0844917 8.52227e+51 61.9095
649.7 9.45156 11.9392 -0.00471039 7.77331e+26 0.0844884 8.66683e+51 61.9179
649.8 9.45156 11.9387 -0.00471039 7.83926e+26 0.084485 8.81382e+51 61.9264
649.9 9.45156 11.9382 -0.00471039 7.90577e+26 0.0844817 8.96331e+51 61.9348
650 9.45156 11.9378 -0.00471039 7.97284e+26 0.0844784 9.11533e+51 61.9433
650.1 9.45156 11.9373 -0.00471039 8.04048e+26 0.084475 9.26992e+51 61.9517
650.2 9.45156 11.9368 -0.00471039 8.10868e+26 0.0844717 9.42712e+51 61.9601
650.3 9.45156 11.9363 -0.00471039 8.17747e+26 0.0844684 9.58698e+51 61.9686
650.4 9.45156 11.9359 -0.00471039 8.24683e+26 0.0844651 9.74955e+51 61.977
650.5 9.45156 11.9354 -0.00471039 8.31678e+26 0.0844617 9.91487e+51 61.9855
650.6 9.45156 11.9349 -0.00471039 8.38732e+26 0.0844584 1.0083e+52 61.9939
650.7 9.45156 11.9345 -0.00471039 8.45846e+26 0.0844551 1.02539e+52 62.0024
650.8 9.45156 11.934 -0.00471039 8.5302e+26 0.0844517 1.04278e+52 62.0108
650.9 9.45156 11.9335 -0.00471039 8.60254e+26 0.0844484 1.06046e+52 62.0193
651 9.45156 11.933 -0.00471039 8.67549e+26 0.0844451 1.07844e+52 62.0277
651.1 9.45156 11.9326 -0.00471039 8.74906e+26 0.0844418 1.09672e+52 62.0362
651.2 9.45156 11.9321 -0.00471039 8.82325e+26 0.0844384 1.11531e+52 62.0446
651.3 9.45156 11.9316 -0.00471039 8.89807e+26 0.0844351 1.13421e+52 62.053
651.4 9.45156 11.9312 -0.00471039 8.97352e+26 0.0844318 1.15344e+52 62.0615
651.5 9.45156 11.9307 -0.00471039 9.0496e+26 0.0844284 1.17299e+52 62.0699
651.6 9.45156 11.9302 -0.00471039 9.12633e+26 0.0844251 1.19287e+52 62.0784
651.7 9.45156 11.9297 -0.00471039 9.2037e+26 0.0844218 1.21309e+52 62.0868
651.8 9.45156 11.9293 -0.00471039 9.28173e+26 0.0844185 1.23365e+52 62.0953
651.9 9.45156 11.9288 -0.00471039 9.36041e+26 0.0844151 1.25455e+52 62.1037
652 9.45156 11.9283 -0.00471039 9.43976e+26 0.0844118 1.27581e+52 62.1121
652.1 9.45156 11.9279 -0.00471039 9.51978e+26 0.0844085 1.29743e+52 62.1206
652.2 9.45156 11.9274 -0.00471038 9.60047e+26 0.0844051 1.31942e+52 62.129
652.3 9.45156 11.9269 -0.00471038 9.68185e+26 0.0844018 1.34177e+52 62.1375
652.4 9.45156 11.9265 -0.00471038 9.76391e+26 0.0843985 1.36451e+52 62.1459
652.5 9.45156 11.926 -0.00471038 9.84666e+26 0.0843952 1.38763e+52 62.1543
652.6 9.45156 11.9255 -0.00471038 9.93011e+26 0.0843918 1.41114e+52 62.1628
652.7 9.45156 11.925 -0.00471038 1.00143e+27 0.0843885 1.43504e+52 62.1712
652.8 9.45156 11.9246 -0.00471038 1.00991e+27 0.0843852 1.45935e+52 62.1797
652.9 9.45156 11.9241 -0.00471038 1.01847e+27 0.0843819 1.48407e+52 62.1881
653 9.45156 11.9236 -0.00471038 1.0271e+27 0.0843785 1.50921e+52 62.1965
653.1 9.45156 11.9232 -0.00471038 1.0358e+27 0.0843752 1.53478e+52 62.205
653.2 9.45156 11.9227 -0.00471038 1.04458e+27 0.0843719 1.56077e+52 62.2134
653.3 9.45156 11.9222 -0.00471038 1.05343e+27 0.0843685 1.58721e+52 62.2219
653.4 9.45156 11.9217 -0.00471038 1.06236e+27 0.0843652 1.61409e+52 62.2303
653.5 9.45156 11.9213 -0.00471038 1.07136e+27 0.0843619 1.64143e+52 62.2387
653.6 9.45156 11.9208 -0.00471038 1.08043e+27 0.0843586 1.66923e+52 62.2472
653.7 9.45156 11.9203 -0.00471038 1.08959e+27 0.0843552 1.69749e+52 62.2556
653.8 9.45156 11.9199 -0.00471038 1.09882e+27 0.0843519 1.72624e+52 62.264
653.9 9.45156 11.9194 -0.00471038 1.10812e+27 0.0843486 1.75547e+52 62.2725
654 9.45156 11.9189 -0.00471038 1.11751e+27 0.0843452 1.78519e+52 62.2809
654.1 9.45156 11.9184 -0.00471038 1.12698e+27 0.0843419 1.81542e+52 62.2893
654.2 9.45156 11.918 -0.00471038 1.13652e+27 0.0843386 1.84616e+52 62.2978
654.3 9.45156 11.9175 -0.00471038 1.14615e+27 0.0843353 1.87741e+52 62.3062
654.4 9.45156 11.917 -0.00471038 1.15585e+27 0.0843319 1.9092e+52 62.3146
654.5 9.45156 11.9166 -0.00471038 1.16564e+27 0.0843286 1.94152e+52 62.3231
654.6 9.45156 11.9161 -0.00471038 1.17551e+27 0.0843253 1.97439e+52 62.3315
654.7 9.45156 11.9156 -0.00471038 1.18547e+27 0.0843219 2.00781e+52 62.3399
654.8 9.45156 11.9151 -0.00471038 1.1955e+27 0.0843186 2.0418e+52 62.3484
654.9 9.45156 11.9147 -0.00471038 1.20563e+27 0.0843153 2.07636e+52 62.3568
655 9.45156 11.9142 -0.00471038 1.21584e+27 0.084312 2.1115e+52 62.3652
655.1 9.45156 11.9137 -0.00471038 1.22613e+27 0.0843086 2.14724e+52 62.3737
655.2 9.45156 11.9133 -0.00471038 1.23651e+27 0.0843053 2.18358e+52 62.3821
655.3 9.45156 11.9128 -0.00471038 1.24698e+27 0.084302 2.22053e+52 62.3905
655.4 9.45156 11.9123 -0.00471038 1.25753e+27 0.0842986 2.25811e+52 62.399
655.5 9.45156 11.9118 -0.00471038 1.26818e+27 0.0842953 2.29632e+52 62.4074
655.6 9.45156 11.9114 -0.00471037 1.27892e+27 0.084292 2.33518e+52 62.4158
655.7 9.45156 11.9109 -0.00471037 1.28974e+27 0.0842887 2.37469e+52 62.4242
655.8 9.45156 11.9104 -0.00471037 1.30066e+27 0.0842853 2.41488e+52 62.4327
655.9 9.45156 11.91 -0.00471037 1.31167e+27 0.084282 2.45573e+52 62.4411
656 9.45156 11.9095 -0.00471037 1.32277e+27 0.0842787 2.49728e+52 62.4495
656.1 9.45156 11.909 -0.00471037 1.33396e+27 0.0842753 2.53953e+52 62.458
656.2 9.45156 11.9086 -0.00471037 1.34525e+27 0.084272 2.5825e+52 62.4664
656.3 9.45156 11.9081 -0.00471037 1.35664e+27 0.0842687 2.62618e+52 62.4748
656.4 9.45156 11.9076 -0.00471037 1.36812e+27 0.0842654 2.67061e+52 62.4832
656.5 9.45156 11.9071 -0.00471037 1.37969e+27 0.084262 2.71578e+52 62.4917
656.6 9.45156 11.9067 -0.00471037 1.39137e+27 0.0842587 2.76172e+52 62.5001
656.7 9.45156 11.9062 -0.00471037 1.40314e+27 0.0842554 2.80843e+52 62.5085
656.8 9.45156 11.9057 -0.00471037 1.41501e+27 0.0842521 2.85593e+52 62.5169
656.9 9.45156 11.9053 -0.00471037 1.42699e+27 0.0842487 2.90424e+52 62.5254
657 9.45156 11.9048 -0.00471037 1.43906e+27 0.0842454 2.95335e+52 62.5338
657.1 9.45156 11.9043 -0.00471037 1.45123e+27 0.0842421 3.0033e+52 62.5422
657.2 9.45156 11.9038 -0.00471037 1.46351e+27 0.0842387 3.05409e+52 62.5506
657.3 9.45156 11.9034 -0.00471037 1.47589e+27 0.0842354 3.10573e+52 62.5591
657.4 9.45156 11.9029 -0.00471037 1.48837e+27 0.0842321 3.15825e+52 62.5675
